date,tmax,tmin,prec,source,jd,updated_at
2025-09-01,,,0.0,forecast,244,2025-09-01 15:14:05.155822-03:00
2025-09-02,,,0.0,forecast,245,2025-09-02 06:29:50.103366-03:00
2025-09-03,,,0.0,forecast,246,2025-09-03 06:27:39.094151-03:00
2025-09-04,,,0.0,forecast,247,2025-09-04 10:29:42.682890-03:00
2025-09-05,,,0.0,forecast,248,2025-09-04 10:29:42.682890-03:00
2025-09-06,,,0.0,forecast,249,2025-09-04 10:29:42.682890-03:00
2025-09-07,,,0.0,forecast,250,2025-09-04 10:29:42.682890-03:00
2025-09-08,,,0.0,forecast,251,2025-09-04 10:29:42.682890-03:00
2025-09-09,,,0.0,forecast,252,2025-09-04 10:29:42.682890-03:00
2025-09-10,,,0.0,forecast,253,2025-09-04 10:29:42.682890-03:00
2025-09-11,,,0.0,forecast,254,2025-09-04 10:29:42.682890-03:00
