date,tmax,tmin,prec,source,jd,updated_at
2025-09-01,,,0.0,forecast,244,2025-09-01 15:14:05.155822-03:00
2025-09-02,,,0.0,forecast,245,2025-09-02 06:29:50.103366-03:00
2025-09-03,,,0.0,forecast,246,2025-09-03 06:27:39.094151-03:00
2025-09-04,9.0,-4.0,0.0,forecast,247,2025-09-04 11:44:22.684712-03:00
2025-09-05,11.0,-2.0,0.0,forecast,248,2025-09-05 09:22:41.136143-03:00
2025-09-06,17.0,1.0,0.0,forecast,249,2025-09-06 09:20:05.449660-03:00
2025-09-07,18.0,6.0,0.0,forecast,250,2025-09-07 09:20:27.668809-03:00
2025-09-08,21.0,8.0,0.0,forecast,251,2025-09-08 09:25:21.899350-03:00
2025-09-09,22.0,4.0,0.0,forecast,252,2025-09-09 09:25:07.517482-03:00
2025-09-10,22.0,13.0,0.3,forecast,253,2025-09-10 09:23:03.858425-03:00
2025-09-11,21.0,6.0,0.0,forecast,254,2025-09-11 09:22:43.479199-03:00
2025-09-12,25.0,7.0,0.0,forecast,255,2025-09-12 09:22:51.777032-03:00
2025-09-13,22.0,12.0,0.0,forecast,256,2025-09-13 09:20:03.539600-03:00
2025-09-14,20.0,5.0,0.0,forecast,257,2025-09-14 09:19:56.245485-03:00
2025-09-15,24.0,3.0,0.0,forecast,258,2025-09-15 09:23:56.053870-03:00
2025-09-16,26.0,13.0,1.3,forecast,259,2025-09-16 09:23:35.513871-03:00
2025-09-17,23.0,12.0,0.0,forecast,260,2025-09-17 09:23:37.578990-03:00
2025-09-18,27.0,13.0,6.5,forecast,261,2025-09-18 09:23:02.831206-03:00
2025-09-19,19.0,11.0,15.6,forecast,262,2025-09-19 09:23:57.664748-03:00
2025-09-20,12.0,9.0,37.1,forecast,263,2025-09-20 09:21:15.680027-03:00
2025-09-21,13.0,7.0,10.2,forecast,264,2025-09-21 09:21:02.690196-03:00
2025-09-22,15.0,7.0,0.0,forecast,265,2025-09-22 09:24:21.365965-03:00
2025-09-23,13.0,3.0,0.0,forecast,266,2025-09-22 09:24:21.365965-03:00
2025-09-24,18.0,0.0,0.0,forecast,267,2025-09-22 09:24:21.365965-03:00
2025-09-25,21.0,7.0,0.0,forecast,268,2025-09-22 09:24:21.365965-03:00
2025-09-26,18.0,10.0,30.5,forecast,269,2025-09-22 09:24:21.365965-03:00
2025-09-27,20.0,12.0,33.9,forecast,270,2025-09-22 09:24:21.365965-03:00
2025-09-28,22.0,10.0,0.0,forecast,271,2025-09-22 09:24:21.365965-03:00
2025-09-29,17.0,8.0,0.0,forecast,272,2025-09-22 09:24:21.365965-03:00
